cod_reg,regione,cod_prov,provincia,comune,cod_istat,flag,arr_tot_res,arr_tot_nonres,arr_tot_tot,arr_alb_res,arr_alb_nonres,arr_alb_tot,arr_ext_res,arr_ext_nonres,arr_ext_tot,col16,pre_tot_res,pre_tot_nonres,pre_tot_tot,pre_alb_res,pre_alb_nonres,pre_alb_tot,pre_ext_res,pre_ext_nonres,pre_ext_tot,anno
160,PUGLIA,075,LECCE,Maglie,075039,,1883.0,404.0,2287.0,1506.0,327.0,1833.0,377.0,77.0,454.0,,5759.0,1226.0,6985.0,3920.0,916.0,4836.0,1839.0,310.0,2149.0,2015
160,PUGLIA,075,LECCE,Martano,075040,,1668.0,759.0,2427.0,,,,,,,,5846.0,2962.0,8808.0,,,,,,,2015
160,PUGLIA,075,LECCE,Matino,075042,,1056.0,63.0,1119.0,,,,,,,,2931.0,179.0,3110.0,,,,,,,2015
160,PUGLIA,075,LECCE,Melendugno,075043,,53814.0,3808.0,57622.0,39121.0,1874.0,40995.0,14693.0,1934.0,16627.0,,367432.0,18646.0,386078.0,273875.0,10404.0,284279.0,93557.0,8242.0,101799.0,2015
160,PUGLIA,075,LECCE,Minervino di Lecce,075047,,5200.0,1076.0,6276.0,4650.0,677.0,5327.0,550.0,399.0,949.0,,37006.0,8285.0,45291.0,35126.0,6836.0,41962.0,1880.0,1449.0,3329.0,2015
160,PUGLIA,075,LECCE,Monteroni di Lecce,075048,,1005.0,58.0,1063.0,,,,,,,,2291.0,257.0,2548.0,,,,,,,2015
160,PUGLIA,075,LECCE,Morciano di Leuca,075050,,6000.0,358.0,6358.0,3877.0,134.0,4011.0,2123.0,224.0,2347.0,,37663.0,1551.0,39214.0,27189.0,783.0,27972.0,10474.0,768.0,11242.0,2015
160,PUGLIA,075,LECCE,Muro Leccese,075051,,1728.0,476.0,2204.0,,,,,,,,5830.0,1740.0,7570.0,,,,,,,2015
160,PUGLIA,075,LECCE,Nardò,075052,,30417.0,6550.0,36967.0,18339.0,5456.0,23795.0,12078.0,1094.0,13172.0,,211442.0,43181.0,254623.0,129499.0,38113.0,167612.0,81943.0,5068.0,87011.0,2015
160,PUGLIA,075,LECCE,Novoli,075055,,386.0,67.0,453.0,,,,,,,,1159.0,319.0,1478.0,,,,,,,2015
160,PUGLIA,075,LECCE,Ortelle,075056,,499.0,716.0,1215.0,,,,,,,,2037.0,3170.0,5207.0,,,,,,,2015
160,PUGLIA,075,LECCE,Otranto,075057,,108178.0,21788.0,129966.0,58656.0,15465.0,74121.0,49522.0,6323.0,55845.0,,610961.0,80156.0,691117.0,277468.0,51121.0,328589.0,333493.0,29035.0,362528.0,2015
160,PUGLIA,075,LECCE,Palmariggi,075058,,423.0,61.0,484.0,,,,,,,,1840.0,293.0,2133.0,,,,,,,2015
160,PUGLIA,075,LECCE,Parabita,075059,,656.0,204.0,860.0,,,,,,,,2659.0,569.0,3228.0,,,,,,,2015
160,PUGLIA,075,LECCE,Patù,075060,,2872.0,2052.0,4924.0,2485.0,1860.0,4345.0,387.0,192.0,579.0,,10999.0,9135.0,20134.0,9073.0,7915.0,16988.0,1926.0,1220.0,3146.0,2015
160,PUGLIA,075,LECCE,Poggiardo,075061,,1972.0,165.0,2137.0,,,,,,,,5659.0,858.0,6517.0,,,,,,,2015
160,PUGLIA,075,LECCE,Presicce,075062,,5834.0,293.0,6127.0,5393.0,256.0,5649.0,441.0,37.0,478.0,,29537.0,1515.0,31052.0,27213.0,1386.0,28599.0,2324.0,129.0,2453.0,2015
160,PUGLIA,075,LECCE,Racale,075063,,621.0,144.0,765.0,,,,,,,,3989.0,1160.0,5149.0,,,,,,,2015
160,PUGLIA,075,LECCE,Ruffano,075064,,258.0,105.0,363.0,,,,,,,,1068.0,479.0,1547.0,,,,,,,2015
160,PUGLIA,075,LECCE,Salice Salentino,075065,,252.0,40.0,292.0,,,,,,,,1366.0,141.0,1507.0,,,,,,,2015
